,t_sum,A_sum,t_trapz,A_trapz
100,225.451119847,0.6268672822488152,223.55227705899998,0.6331992749951713
250,527.578030956,0.6306848584288804,543.583275791,0.6332177293448218
500,907.252881509,0.6319445569672385,919.8734679859999,0.6332109789243681
750,1367.1018850600003,0.6323643689792522,1367.9359979700002,0.633208647175006
1000,1766.8664975230004,0.6325785729619167,1767.9512293079997,0.633211784746303
1500,2606.8604756330005,0.6327880406782824,2606.343027559,0.633210180798575
2000,2911.1140424190016,0.6328937699749456,2910.034460570001,0.6332103751623467
2500,2932.003927739999,0.632957525909962,2932.0989909929995,0.6332108102339118
3000,2951.789692831,0.6329995011696173,2951.892896292,0.633210571359951
3500,2969.7615963089993,0.6330295693215405,2969.9214855579994,0.6332104866033246
4000,2988.6992286370005,0.6330522753935253,2988.519204106,0.6332105780379449
4500,3002.7139571829975,0.6330699324565147,3000.716787589001,0.6332106459333088
5000,3014.204652502005,0.6330839028606035,3012.235419002005,0.6332105449695257
