,kNN,SVM,Gaussian-NB,LDA
RlfF-5,0.676043557168784,0.6932849364791289,0.7463702359346642,0.6846642468239564
RlfF-10,0.7990018148820327,0.7463702359346642,0.7291288566243195,0.7813067150635209
RlfF-15,0.8774954627949183,0.8865698729582576,0.8430127041742287,0.8688747731397459
RlfF-20,0.9650635208711433,0.9650635208711433,0.8861161524500907,0.9128856624319419
RlfF-25,0.9387477313974592,0.9301270417422868,0.912431941923775,0.8602540834845736
RlfF-30,0.9038112522686026,0.956442831215971,0.9038112522686026,0.7990018148820327
MSurf-5,0.7726860254083485,0.7636116152450091,0.7726860254083485,0.7636116152450091
MSurf-10,0.7636116152450091,0.7813067150635209,0.7554446460980035,0.7549909255898366
MSurf-15,0.8253176043557169,0.7813067150635209,0.7903811252268602,0.7899274047186933
MSurf-20,0.9301270417422868,0.9650635208711433,0.8253176043557169,0.9038112522686026
MSurf-25,0.9038112522686026,0.9215063520871143,0.8774954627949183,0.8865698729582576
MSurf-30,0.912431941923775,0.9478221415607986,0.9301270417422868,0.8602540834845736
RlfI-5,0.9210526315789473,0.9038112522686026,0.8951905626134301,0.9038112522686026
RlfI-10,0.9210526315789473,0.9301270417422868,0.956442831215971,0.9215063520871143
RlfI-15,0.9736842105263157,0.9741379310344828,0.9478221415607986,0.9827586206896552
RlfI-20,0.9736842105263157,0.9473684210526316,0.9392014519056261,0.956442831215971
RlfI-25,0.9736842105263157,0.9736842105263157,0.9478221415607986,0.9128856624319419
RlfI-30,0.9736842105263157,0.9736842105263157,0.9047186932849365,0.9392014519056261
RlfLM-5,0.8257713248638838,0.6851179673321234,0.7114337568058076,0.7023593466424682
RlfLM-10,0.8162431941923776,0.8516333938294012,0.7817604355716878,0.8166969147005445
RlfLM-15,0.8602540834845736,0.8166969147005445,0.7731397459165155,0.8779491833030852
RlfLM-20,0.9478221415607986,0.9478221415607986,0.9038112522686026,0.9478221415607986
RlfLM-25,0.9650635208711433,0.9650635208711433,0.912431941923775,0.9128856624319419
RlfLM-30,0.9387477313974592,0.9650635208711433,0.912431941923775,0.8956442831215972
MI-5,0.9133393829401089,0.9305807622504537,0.8870235934664247,0.8956442831215972
MI-10,0.8956442831215972,0.9392014519056261,0.8956442831215972,0.9042649727767695
MI-15,0.9219600725952812,0.9305807622504537,0.8956442831215972,0.8784029038112522
MI-20,0.8956442831215972,0.9305807622504537,0.8956442831215972,0.8870235934664247
MI-25,0.8956442831215972,0.956442831215971,0.8956442831215972,0.8525408348457351
MI-30,0.9310344827586207,0.9128856624319419,0.9305807622504537,0.8439201451905627
FT-5,0.8865698729582576,0.8779491833030852,0.9042649727767695,0.8865698729582576
FT-10,0.9392014519056261,0.9387477313974592,0.9305807622504537,0.9301270417422868
FT-15,0.956442831215971,0.956442831215971,0.9305807622504537,0.9478221415607986
FT-20,0.9128856624319419,0.956442831215971,0.9219600725952812,0.9301270417422868
FT-25,0.9650635208711433,0.9387477313974592,0.8956442831215972,0.9215063520871143
FT-30,0.956442831215971,0.9387477313974592,0.8956442831215972,0.9215063520871143
RFGini-5,0.9042649727767695,0.9042649727767695,0.8784029038112522,0.8602540834845736
RFGini-10,0.9310344827586207,0.9042649727767695,0.8870235934664247,0.8956442831215972
RFGini-15,0.9827586206896552,0.956442831215971,0.9042649727767695,0.9568965517241379
RFGini-20,0.9827586206896552,0.9827586206896552,0.8956442831215972,0.8956442831215972
RFGini-25,0.9650635208711433,0.9913793103448276,0.8779491833030852,0.9128856624319419
RFGini-30,0.956442831215971,0.9387477313974592,0.8779491833030852,0.8870235934664247
RFEtry-5,0.9392014519056261,0.9305807622504537,0.9042649727767695,0.9219600725952812
RFEtry-10,0.9827586206896552,0.9827586206896552,0.9219600725952812,0.9741379310344828
RFEtry-15,0.9478221415607986,0.9741379310344828,0.8956442831215972,0.9568965517241379
RFEtry-20,0.9741379310344828,0.956442831215971,0.8956442831215972,0.9482758620689655
RFEtry-25,0.9913793103448276,0.9913793103448276,0.9042649727767695,0.9655172413793103
RFEtry-30,1.0,0.9736842105263157,0.9042649727767695,0.9478221415607986
OA-5,0.9219600725952812,0.9042649727767695,0.8960980036297641,0.8607078039927405
OA-10,0.8960980036297641,0.9133393829401089,0.9047186932849365,0.8784029038112522
OA-15,0.9396551724137931,0.9305807622504537,0.9219600725952812,0.8784029038112522
OA-20,0.9137931034482758,0.8607078039927405,0.9219600725952812,0.8434664246823956
OA-25,0.9396551724137931,0.9482758620689655,0.9219600725952812,0.8348457350272231
OA-30,0.8956442831215972,0.9042649727767695,0.9219600725952812,0.8171506352087115
